Identifier,Tag: Name,Service,Type,Region,Tag: AppName,Tag: BudgetCode,Tag: CitcoEnterpriseTags,Tag: ClientData,Tag: ComponentGroup,Tag: ComponentType,Tag: Cost,Tag: EBSBudgetCode,Tag: EBSCostCenter,Tag: Env,Tag: Environment,Tag: LOB,Tag: Project Code ,Tag: RpaProject,Tag: RunSchedule,Tag: ScheduleMessage,Tag: SubProject,Tag: System,Tag: TagName,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags,ARN
lda-rpacfs1-cais-pricing-extract-post-processing-genai,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),PostProcessingLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-genai-PostProcessingLambdaGenAI-41F8XRQ2EWC2/31229980-1cee-11ef-bd3a-0a32c06d5a5f,dev-rpacfs1-cais-pricing-extract-genai-PostProcessingLambdaGenAI-41F8XRQ2EWC2,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-post-processing-genai
lda-IA-BPO-ra-valuation-event-listener,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),CIS-NOTICE-BOOKING-072024,IA-BPO,(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-ra-valuations-EventListenerLambda-KL6PVOL3CELI/105cccc0-025c-11f1-acd4-0285a26fb72d,dev-ra-valuations-EventListenerLambda-KL6PVOL3CELI,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-ra-valuation-event-listener
lda-ia-bpo-cais-event-based-trigger,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),CAIS-TRADE-CAPTURE-042025,IA-BPO,(not tagged),DEV,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-core-ia-bpo-trade-capture-custody-CAISEventBasedTriggerLambdaL1-92Z7P7H6KTAI/a0501690-5e3b-11f0-8af4-0253219cfd3b,dev-core-ia-bpo-trade-capture-custody-CAISEventBasedTriggerLambdaL1-92Z7P7H6KTAI,SAM,11,arn:aws:lambda:eu-west-1:442645024664:function:lda-ia-bpo-cais-event-based-trigger
lda-IA-BPO-ZZ-Audit-Processing,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),DATAOPS-ZZ-AUDIT-BOT-022023,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),ProcessingLambda,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-ZZ-Audit-ProcessingLambda-163PAZJR62ANG/be7019b0-0116-11ee-aad8-067a5659eead,dev-ZZ-Audit-ProcessingLambda-163PAZJR62ANG,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-ZZ-Audit-Processing
lda-rpacfs1-cais-pricing-extract-pull-documents-genai,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),PullDocumentsLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-genai-PullDocsLambdaGenAI-1IBYB376VOOZ5/5fb9eff0-1cee-11ef-837b-02ce6e3f4c97,dev-rpacfs1-cais-pricing-extract-genai-PullDocsLambdaGenAI-1IBYB376VOOZ5,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-pull-documents-genai
lda-IA-BPO-Event-Srvc-Cosec,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),TBD-COSEC,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-Event-Srvc-Cosec-Lambda-1ACCDU8OE0B9L/26886880-9ed2-11f0-a347-0a60ec209731,dev-Event-Srvc-Cosec-Lambda-1ACCDU8OE0B9L,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-Event-Srvc-Cosec
lda-ia-bpo-cais-schedule-trigger,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),CAIS-TRADE-CAPTURE-042025,IA-BPO,(not tagged),DEV,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-core-ia-bpo-trade-capture-custody-CAISScheduleTriggerLambdaL3-E1511EECJW9/e1873a70-5e3c-11f0-a189-0a0bb0bb9215,dev-core-ia-bpo-trade-capture-custody-CAISScheduleTriggerLambdaL3-E1511EECJW9,SAM,11,arn:aws:lambda:eu-west-1:442645024664:function:lda-ia-bpo-cais-schedule-trigger
lda-IA-BPO-tradeCapture-fa-event-listener,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),CIS-NOTICE-BOOKING-072024,IA-BPO,(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-CAIS-Trade-Capture-EventListenerLambda-1DUQN52YAW61I/ddc8fb80-9e1a-11f0-9508-061c8ff4a509,dev-CAIS-Trade-Capture-EventListenerLambda-1DUQN52YAW61I,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-tradeCapture-fa-event-listener
lda-rpacfs1-cais-pricing-extract-file-transfer,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),FileTransferLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-FileTransferLambda-SWIRFJFW5DRF/7243add0-1d72-11ef-9a4a-022611c17585,dev-rpacfs1-cais-pricing-extract-FileTransferLambda-SWIRFJFW5DRF,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-file-transfer
lda-rpacfs1-cais-pricing-extract-filtering-documents,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),FilteringDocumentsLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-FilteringDocumentsLambda-8DPN3BY3STH6/72447120-1d72-11ef-b000-0a801a38d939,dev-rpacfs1-cais-pricing-extract-FilteringDocumentsLambda-8DPN3BY3STH6,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-filtering-documents
lda-ia-bpo-cais-json-pull,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),CAIS-TRADE-CAPTURE-042025,IA-BPO,(not tagged),DEV,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-core-ia-bpo-trade-capture-custody-CAISJsonPullLambdaL2-WVQVR8UFPBC1/e192d330-5e3c-11f0-adc6-0ac148881a33,dev-core-ia-bpo-trade-capture-custody-CAISJsonPullLambdaL2-WVQVR8UFPBC1,SAM,11,arn:aws:lambda:eu-west-1:442645024664:function:lda-ia-bpo-cais-json-pull
lda-IA-BPO-Event-Srvc-PullData-Cosec,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),TBD-COSEC,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-Event-Srvc-Cosec-PullDataLambda-1SIWDQP699COO/268ad980-9ed2-11f0-b66b-023ea6ccafc5,dev-Event-Srvc-Cosec-PullDataLambda-1SIWDQP699COO,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-Event-Srvc-PullData-Cosec
lda-rpacfs1-cais-pricing-extract-pull-documents,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),PullDocumentsLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-PullDocsLambda-LQTOXHFV019E/167fe620-1d73-11ef-832e-06adecabce8d,dev-rpacfs1-cais-pricing-extract-PullDocsLambda-LQTOXHFV019E,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-pull-documents
s3-eu-west-1-442645024664-iabpo-zz-audit,(not tagged),S3,Bucket,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),DATAOPS-ZZ-AUDIT-BOT-022023,(not tagged),(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),S3Bucket,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-ZZ-Audit-S3Bucket-1NVEF4E0UIM9N/a90e2990-0116-11ee-929a-0687536db65d,dev-ZZ-Audit-S3Bucket-1NVEF4E0UIM9N,(not tagged),8,arn:aws:s3:::s3-eu-west-1-442645024664-iabpo-zz-audit
s3-eu-west-1-442645024664-iabpo-loans-unsettled-trade-rec,(not tagged),S3,Bucket,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),LOANS-UNSETTLED-TRADE-REC-082024,(not tagged),(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),S3Bucket,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-loans-unsettled-trade-S3Bucket-D5ZL4DVOJEKA/4ec50050-8c5f-11ef-915d-025b5d8f52d9,dev-loans-unsettled-trade-S3Bucket-D5ZL4DVOJEKA,(not tagged),8,arn:aws:s3:::s3-eu-west-1-442645024664-iabpo-loans-unsettled-trade-rec
s3-eu-west-1-442645024664-cais-trade-capture-fa,(not tagged),S3,Bucket,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),CIS-NOTICE-BOOKING-072024,(not tagged),(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),S3Bucket,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-CAIS-Trade-Capture-S3Bucket-1W8PROUBJYCC0/eb8c4500-9e0c-11f0-8079-0a2c8ec3e4af,dev-CAIS-Trade-Capture-S3Bucket-1W8PROUBJYCC0,(not tagged),8,arn:aws:s3:::s3-eu-west-1-442645024664-cais-trade-capture-fa
rpacfs1/bankqadashboard/mailbox/bank/config/DEV-WEWDwm,(not tagged),SecretsManager,Secret,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),bank,(not tagged),(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),RPABankSecret,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-core-rpacfs1-bank-qa-reporting-dashboard/c50c6370-1944-11f1-b3d1-0a3227f5cd27,dev-core-rpacfs1-bank-qa-reporting-dashboard,(not tagged),9,arn:aws:secretsmanager:eu-west-1:442645024664:secret:rpacfs1/bankqadashboard/mailbox/bank/config/DEV-WEWDwm
dev-cdq-ui-cw-Alarms,(not tagged),SNS,Topic,eu-west-1,ia-bpo,IA-BPO,(not tagged),false,cdq,ui,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),CwAlarmsTopic,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-cdq-ui-NotificationServices-8EP8YD1P4YGV/95989990-f0dd-11f0-a344-06af7a0c9e99,dev-cdq-ui-NotificationServices-8EP8YD1P4YGV,(not tagged),12,arn:aws:sns:eu-west-1:442645024664:dev-cdq-ui-cw-Alarms
dev-aeoi-ui-cw-Alarms,(not tagged),SNS,Topic,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,aeoi,ui,rpacfs1,(not tagged),rpacfs1,dev,(not tagged),rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),CwAlarmsTopic,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-aeoi-ui-NotificationServices-1HFRDPP8S0IZO/c7866f30-03cd-11ef-a6b3-0663e70ea9b5,dev-aeoi-ui-NotificationServices-1HFRDPP8S0IZO,(not tagged),12,arn:aws:sns:eu-west-1:442645024664:dev-aeoi-ui-cw-Alarms
dev-pricing-pack-api-cw-Alarms,(not tagged),SNS,Topic,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,pricing-pack,api,CAIS-PRICING-PACK-062020,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),CwAlarmsTopic,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-pricing-pack-api-NotificationServices-1K5A7LRGCAIOZ/63b8b7c0-19c0-11ef-989e-06ea9f082471,dev-pricing-pack-api-NotificationServices-1K5A7LRGCAIOZ,(not tagged),12,arn:aws:sns:eu-west-1:442645024664:dev-pricing-pack-api-cw-Alarms
IA-BPO-ZZ-Audit-Queue-dlq,IA-BPO-ZZ-Audit-Queue-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),5,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-ZZ-Audit-Queue-dlq
rpacfs1-cais-pricing-extract-cti-ner-job-notification-queue-genai,rpacfs1-cais-pricing-extract-cti-ner-job-notification-queue-genai,SQS,Queue,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,(not tagged),rpacfs1,DEV,(not tagged),CFS,(not tagged),CAIS,manila-office-hours,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),10,arn:aws:sqs:eu-west-1:442645024664:rpacfs1-cais-pricing-extract-cti-ner-job-notification-queue-genai
IA-BPO-CAIS-tradeCapture-fa-fileProcessing,IA-BPO-CAIS-tradeCapture-fa-fileProcessing,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-CAIS-tradeCapture-fa-fileProcessing
IA-BPO-CAIS-tradeCapture-fa-fileProcessing-dlq,IA-BPO-CAIS-tradeCapture-fa-fileProcessing-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),5,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-CAIS-tradeCapture-fa-fileProcessing-dlq
rpacfs1-cais-pricing-extract-cti-analyze-notification-queue-genai-dlq,rpacfs1-cais-pricing-extract-cti-analyze-notification-queue-genai-dlq,SQS,Queue,eu-west-1,rpacfs1,rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:rpacfs1-cais-pricing-extract-cti-analyze-notification-queue-genai-dlq
IA-BPO-RA-Doc-Processing-dlq,IA-BPO-RA-Doc-Processing-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),5,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-RA-Doc-Processing-dlq
IA-BPO-Deadlines-WP-Queue-dlq.fifo,IA-BPO-Deadlines-WP-Queue-dlq.fifo,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),5,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-Deadlines-WP-Queue-dlq.fifo
IA-BPO-ZZ-Audit-Queue,IA-BPO-ZZ-Audit-Queue,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-ZZ-Audit-Queue
IA-BPO-Address-Extraction-Queue-UCM-FileList,IA-BPO-Address-Extraction-Queue-UCM-FileList,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-Address-Extraction-Queue-UCM-FileList
dev-ia-bpo-cais-trade-capture-sqs-queue-dlq,dev-ia-bpo-cais-trade-capture-sqs-queue-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),CAIS-TRADE-CAPTURE-042025,(not tagged),CAIS-TRADE-CAPTURE-042025,DEV,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:dev-ia-bpo-cais-trade-capture-sqs-queue-dlq
dev_com_citco_cfs_rec_checklist_request_fifo,dev_com_citco_cfs_rec_checklist_request_fifo,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),UiPath-Meso,(not tagged),IA-BPO,DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),8,arn:aws:sqs:eu-west-1:442645024664:dev_com_citco_cfs_rec_checklist_request_fifo
dev-sqs-ia_meso-IA-BPO-ingestion-queue-dlq,dev-sqs-ia_meso-IA-BPO-ingestion-queue-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),UiPath-Meso,(not tagged),(not tagged),DEV,(not tagged),CFS,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),6,arn:aws:sqs:eu-west-1:442645024664:dev-sqs-ia_meso-IA-BPO-ingestion-queue-dlq
IA-BPO-Event-Srvc-Investran-Queue-dlq,IA-BPO-Event-Srvc-Investran-Queue-dlq,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),5,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-Event-Srvc-Investran-Queue-dlq
IA-BPO-Address-Extraction-Queue,IA-BPO-Address-Extraction-Queue,SQS,Queue,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),7,arn:aws:sqs:eu-west-1:442645024664:IA-BPO-Address-Extraction-Queue
lda-rpacfs1-cais-pricing-extract-post-processing,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),PostProcessingLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-PostProcessingLambda-XJ6RY7F3DUH/f18e0b30-1d72-11ef-b9c8-06ea9f082471,dev-rpacfs1-cais-pricing-extract-PostProcessingLambda-XJ6RY7F3DUH,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pricing-extract-post-processing
lda-rpacfs1-cais-pe-sqs-alarm-formatter-genai,(not tagged),Lambda,Function,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,(not tagged),(not tagged),rpacfs1,rpacfs1,(not tagged),DEV,(not tagged),CFS,(not tagged),CAIS,(not tagged),(not tagged),(not tagged),rpacfs1,(not tagged),AlarmFormatterLambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-rpacfs1-cais-pricing-extract-genai-SQSQueueDepthAlarmsGenAI-YF7J55PEIFDJ/a7559060-3cf6-11f1-a2e8-0ac79d921d3d,dev-rpacfs1-cais-pricing-extract-genai-SQSQueueDepthAlarmsGenAI-YF7J55PEIFDJ,SAM,13,arn:aws:lambda:eu-west-1:442645024664:function:lda-rpacfs1-cais-pe-sqs-alarm-formatter-genai
lda-IA-BPO-MW-Expense,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),FA-EXPENSE-REIMBURSEMENT-112022,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-MW-Expense-Lambda-1M6IRB7LJKLR/e0f48650-b905-11ed-9387-0202053cd0dd,dev-MW-Expense-Lambda-1M6IRB7LJKLR,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-MW-Expense
lda-IA-BPO-iconiq-mgt-perf-fee-data-exporter,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),TBD-ICONIQ-MGT-PERF,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-Iconiq-Mgt-Perf-Fee-DataExporterLambda-VBD1KY58LIFA/2aebd430-3ac6-11f1-9f63-0af264d57525,dev-Iconiq-Mgt-Perf-Fee-DataExporterLambda-VBD1KY58LIFA,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-iconiq-mgt-perf-fee-data-exporter
lda-IA-BPO-Processor-Ra-Doc,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),RA-INVOICE-PROCESSING,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-RA-Doc-Processing-ProcessorLambda-172KYGOUHFR1E/90c22860-1e91-11f0-92f1-062c541c6037,dev-RA-Doc-Processing-ProcessorLambda-172KYGOUHFR1E,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-Processor-Ra-Doc
lda-IA-BPO-Event-Srvc-PullData-Investran,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),PE-PCAP-STATEMENT-VALUATION-062024,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-Event-Srvc-Investran-PullDataLambda-S2RN3PIH6CTC/e02ec5d0-8c87-11ef-9938-0a5f2a61132f,dev-Event-Srvc-Investran-PullDataLambda-S2RN3PIH6CTC,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-Event-Srvc-PullData-Investran
lda-IA-BPO-listener-ra-doc-processing,(not tagged),Lambda,Function,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,(not tagged),(not tagged),RA-INVOICE-PROCESSING,IA-BPO,(not tagged),DEV,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),IA-BPO,(not tagged),LambdaFunction,arn:aws:cloudformation:eu-west-1:442645024664:stack/dev-RA-Doc-Processing-CDITriggerLambda-1SG7COOQ5MSIM/90b1d4b0-1e91-11f0-a140-0a3915ebfa65,dev-RA-Doc-Processing-CDITriggerLambda-1SG7COOQ5MSIM,SAM,12,arn:aws:lambda:eu-west-1:442645024664:function:lda-IA-BPO-listener-ra-doc-processing
